Task,Modality,Feature_Encoder,Aggregation,Fusion,Fold,BA,MCC,AUC,F1-Score
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_27,0.8905128205128205,0.8142755195100638,0.9753846153846154,0.9292509082841058
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_28,0.9423076923076924,0.9222752929447536,0.997948717948718,0.9696789606931882
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_29,0.9615384615384616,0.9482093118615208,0.998974358974359,0.979932256383533
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_30,0.8328205128205128,0.7302976102636662,0.953846153846154,0.8964369681115268
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_31,0.9282051282051282,0.8276256048846565,0.9425641025641024,0.931876044747332
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_32,0.9230769230769232,0.8962759694631982,0.9215384615384616,0.9592602117354592
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_33,0.9415384615384615,0.8724049066175185,0.9743589743589745,0.9507959533448596
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_34,0.8587179487179487,0.7871235414166942,0.9538461538461538,0.9171495744892214
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_35,0.9548717948717949,0.9216361675689166,0.983076923076923,0.9701041783181044
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_36,0.9615384615384616,0.9482093118615208,0.9958974358974358,0.979932256383533
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_37,0.8846153846153846,0.8439494725697222,0.9856410256410256,0.937862180866916
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_38,0.9866666666666668,0.9506889732239056,0.9928205128205128,0.9804309259754804
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_39,0.928974358974359,0.8691642098888374,0.955897435897436,0.9501736305301742
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_40,0.974102564102564,0.9482051282051284,0.997948717948718,0.9801980198019802
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_41,0.928974358974359,0.8691642098888374,0.9928205128205128,0.9501736305301742
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_42,0.9097435897435896,0.8417991557526169,0.9753846153846152,0.9397967691505992
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_43,0.9156410256410256,0.8212359777160264,0.975897435897436,0.9311143346828036
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_44,0.9356410256410256,0.895004233807069,0.9456410256410256,0.9598645127670662
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_45,0.9097435897435896,0.8417991557526169,0.978974358974359,0.9397967691505992
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_46,0.974102564102564,0.9482051282051284,0.9876923076923076,0.9801980198019802
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_47,0.8461538461538461,0.7909356737668818,0.9692307692307692,0.9155966229534348
