Task,Modality,Feature_Encoder,Aggregation,Fusion,Fold,BA,MCC,AUC,F1-Score
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_34,0.6670812324929971,0.6708481163924478,0.9394910519577544,0.7569048833199776
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_35,0.6640336134453783,0.6241646277511806,0.9059889814251064,0.7177692223748819
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_36,0.7223193277310924,0.7297484184413475,0.9277273901714236,0.7903576083217001
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_37,0.6613109243697479,0.662159308127924,0.9460393576645154,0.7430006096042293
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_38,0.7268011204481792,0.7434484003885578,0.9543391353329792,0.798013888731268
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_39,0.6784089635854341,0.6618184682493045,0.8989247734480633,0.7501022124763042
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_40,0.6383081232492998,0.591610615680051,0.9176911124116134,0.7059612830797735
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_41,0.6604145658263305,0.6566185009176233,0.9091436885068672,0.7535258242805413
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_42,0.6469915966386555,0.6213562133392279,0.9101125463032788,0.7198846700063986
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_43,0.7208403361344538,0.7135390522712292,0.9026291296491128,0.7864002164063029
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_44,0.6696918767507002,0.6584299553627382,0.9074849281905628,0.7436599132026301
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_45,0.671406162464986,0.5860257493829945,0.8994430544415104,0.7119284235055983
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_46,0.8639887955182072,0.8084271875129878,0.9723319218584092,0.8632056726720554
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_47,0.6578823529411765,0.6368960539348967,0.914282089278316,0.7233840402350487
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_48,0.6216022408963585,0.602343977395505,0.905346314681392,0.7108310972860801
5_class,KI67,conch_v1,small_clam_sb,Single_Stain,fold_49,0.651170868347339,0.6573624099063761,0.917284174548602,0.7355668001209693
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_0,0.7482240896358544,0.7558208252098016,0.9561541058561838,0.8197964974466531
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_1,0.7246498599439776,0.7015274357349797,0.930768791636571,0.7874121235178843
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_2,0.8014677871148459,0.7594699149076056,0.9589578592135544,0.8298496729788035
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_3,0.8264201680672268,0.7978717888388863,0.9617778189083932,0.8568363700088685
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_4,0.805703081232493,0.7976003845092164,0.961734598843178,0.8565456622025468
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_5,0.8157422969187674,0.7729835301501207,0.9537208793850762,0.8358395818436756
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_6,0.8066554621848739,0.7526701545847627,0.9618619758022164,0.8242956245032482
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_7,0.8038319327731092,0.7731414249744634,0.9400408350747548,0.8305979877271589
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_8,0.7671708683473389,0.729339798382245,0.9476935145791032,0.8062712968373346
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_9,0.8080448179271709,0.7865816472286703,0.9653765057797709,0.8489420485175202
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_10,0.8326162464985994,0.8033020490333707,0.9726255546323572,0.8562456016889515
5_class,HE_KI67,conch_v1,small_clam_sb,Early_Fusion,fold_11,0.8453221288515407,0.81362236570368,0.9699750033915135,0.8667981165888958
